fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate,sea_ice_fraction,mean_sea_ice_concentration
079-bering_chukchi_seas-100km-2011-06-14,79,bering_chukchi_seas,100km,-1762500.0,-1662500.0,937500.0,1037500.0,-1712500.0,987500.0,71.89745002129715,-164.96956947656673,2011-06-14,2011-06-15,,
080-bering_chukchi_seas-100km-2020-08-14,80,bering_chukchi_seas,100km,-1587500.0,-1487500.0,812500.0,912500.0,-1537500.0,862500.0,73.83003244899686,-164.29136217098426,2020-08-14,2020-08-15,,
081-bering_chukchi_seas-100km-2020-06-28,81,bering_chukchi_seas,100km,-1812500.0,-1712500.0,937500.0,1037500.0,-1762500.0,987500.0,71.5059284199646,-164.26119856255056,2020-06-28,2020-06-29,,
082-bering_chukchi_seas-100km-2015-07-12,82,bering_chukchi_seas,100km,-1662500.0,-1562500.0,812500.0,912500.0,-1612500.0,862500.0,73.234777673556,-163.1416012322617,2015-07-12,2015-07-13,,
083-bering_chukchi_seas-100km-2018-07-26,83,bering_chukchi_seas,100km,-1712500.0,-1612500.0,787500.0,887500.0,-1662500.0,837500.0,72.937768,-161.73711,2018-07-26,2018-07-27,0.96,0.497
084-bering_chukchi_seas-100km-2007-07-21,84,bering_chukchi_seas,100km,-1687500.0,-1587500.0,787500.0,887500.0,-1637500.0,837500.0,73.13925622868288,-162.08749061403674,2007-07-21,2007-07-22,,
085-east_siberian_sea-100km-2009-09-03,85,east_siberian_sea,100km,-987500.0,-887500.0,812500.0,912500.0,-937500.0,862500.0,78.27969013699676,-177.6140559696112,2009-09-03,2009-09-04,,
086-east_siberian_sea-100km-2006-09-27,86,east_siberian_sea,100km,-1412500.0,-1312500.0,1037500.0,1137500.0,-1362500.0,1087500.0,74.0076382307174,-173.59564727361587,2006-09-27,2006-09-28,,
087-east_siberian_sea-100km-2018-08-28,87,east_siberian_sea,100km,-1137500.0,-1037500.0,812500.0,912500.0,-1087500.0,862500.0,77.2378149436017,-173.418055344822,2018-08-28,2018-08-29,,
088-east_siberian_sea-100km-2014-08-08,88,east_siberian_sea,100km,-1512500.0,-1412500.0,1062500.0,1162500.0,-1462500.0,1112500.0,73.15462423928713,-172.2596588411621,2014-08-08,2014-08-09,,
089-east_siberian_sea-100km-2014-05-11,89,east_siberian_sea,100km,-362500.0,-262500.0,1437500.0,1537500.0,-312500.0,1487500.0,76.03546416302942,146.86439045128114,2014-05-11,2014-05-12,,
090-east_siberian_sea-100km-2015-07-16,90,east_siberian_sea,100km,-337500.0,-237500.0,1262500.0,1362500.0,-287500.0,1312500.0,77.64285954255678,147.35535986508347,2015-07-16,2015-07-17,,
091-east_siberian_sea-100km-2016-05-25,91,east_siberian_sea,100km,-412500.0,-312500.0,1487500.0,1587500.0,-362500.0,1537500.0,75.49262615378512,148.26648084658368,2016-05-25,2016-05-26,,
092-east_siberian_sea-100km-2020-03-03,92,east_siberian_sea,100km,-487500.0,-387500.0,1712500.0,1812500.0,-437500.0,1762500.0,73.34954438997262,148.94059117029002,2020-03-03,2020-03-04,,
093-east_siberian_sea-100km-2018-04-22,93,east_siberian_sea,100km,-462500.0,-362500.0,1437500.0,1537500.0,-412500.0,1487500.0,75.82015542618574,150.49927537650083,2018-04-22,2018-04-23,,
094-east_siberian_sea-100km-2015-06-30,94,east_siberian_sea,100km,-487500.0,-387500.0,1512500.0,1612500.0,-437500.0,1562500.0,75.10248262521975,150.64224645720873,2015-06-30,2015-07-01,,
095-east_siberian_sea-100km-2022-05-20,95,east_siberian_sea,100km,-487500.0,-387500.0,1462500.0,1562500.0,-437500.0,1512500.0,75.53945903477262,151.13284053048537,2022-05-20,2022-05-21,,
096-east_siberian_sea-100km-2014-04-27,96,east_siberian_sea,100km,-512500.0,-412500.0,1437500.0,1537500.0,-462500.0,1487500.0,75.69185601903224,152.2717425776809,2014-04-27,2014-04-28,,
097-east_siberian_sea-100km-2006-06-11,97,east_siberian_sea,100km,-612500.0,-512500.0,1537500.0,1637500.0,-562500.0,1587500.0,74.54322462696989,154.51079944371327,2006-06-11,2006-06-12,,
098-east_siberian_sea-100km-2019-06-15,98,east_siberian_sea,100km,-562500.0,-462500.0,1362500.0,1462500.0,-512500.0,1412500.0,76.1935547516979,154.94238458169698,2019-06-15,2019-06-16,,
099-east_siberian_sea-100km-2007-07-23,99,east_siberian_sea,100km,-662500.0,-562500.0,1337500.0,1437500.0,-612500.0,1387500.0,76.06543314580152,158.81865049973374,2007-07-23,2007-07-24,,
100-east_siberian_sea-100km-2007-03-26,100,east_siberian_sea,100km,-1112500.0,-1012500.0,1787500.0,1887500.0,-1062500.0,1837500.0,70.58632586199631,165.03784474567345,2007-03-26,2007-03-27,,
101-east_siberian_sea-100km-2020-03-30,101,east_siberian_sea,100km,-1237500.0,-1137500.0,1712500.0,1812500.0,-1187500.0,1762500.0,70.56254646642313,168.97046877601952,2020-03-30,2020-03-31,,
102-east_siberian_sea-100km-2022-07-02,102,east_siberian_sea,100km,-737500.0,-637500.0,1837500.0,1937500.0,-687500.0,1887500.0,71.609279,155.013567,2022-07-02,2022-07-03,1.0,0.855
103-east_siberian_sea-100km-2010-09-29,103,east_siberian_sea,100km,-962500.0,-862500.0,1212500.0,1312500.0,-912500.0,1262500.0,75.69185601903224,170.85835977647508,2010-09-29,2010-09-30,,
104-east_siberian_sea-100km-2017-04-17,104,east_siberian_sea,100km,-1412500.0,-1312500.0,1612500.0,1712500.0,-1362500.0,1662500.0,70.34470455681678,174.33629374197946,2017-04-17,2017-04-18,,
105-east_siberian_sea-100km-2018-08-09,105,east_siberian_sea,100km,-1087500.0,-987500.0,1137500.0,1237500.0,-1037500.0,1187500.0,75.51782426482085,176.14319901441013,2018-08-09,2018-08-10,,
106-greenland_sea-100km-2014-09-11,106,greenland_sea,100km,587500.0,687500.0,-1087500.0,-987500.0,637500.0,-1037500.0,78.793415,-13.431029,2014-09-11,2014-09-12,0.92,0.715
107-greenland_sea-100km-2021-05-06,107,greenland_sea,100km,812500.0,912500.0,-2112500.0,-2012500.0,862500.0,-2062500.0,69.57314507210914,-22.306205054907643,2021-05-06,2021-05-07,,
108-greenland_sea-100km-2018-06-10,108,greenland_sea,100km,737500.0,837500.0,-1812500.0,-1712500.0,787500.0,-1762500.0,72.3157169715812,-20.92450174492116,2018-06-10,2018-06-11,,
109-greenland_sea-100km-2022-07-28,109,greenland_sea,100km,612500.0,712500.0,-1287500.0,-1187500.0,662500.0,-1237500.0,77.09488198221362,-16.837472625676384,2022-07-28,2022-07-29,,
110-greenland_sea-100km-2017-08-05,110,greenland_sea,100km,562500.0,662500.0,-1112500.0,-1012500.0,612500.0,-1062500.0,78.71389489924283,-15.037815903582244,2017-08-05,2017-08-06,,
