,fullname,case_number,location,dx,left_x,right_x,lower_y,top_y,center_x,center_y,center_lat,center_lon,startdate,enddate
35,036-barents_kara_seas-100km-2020-07-01,036,barents_kara_seas,100km,1012500.0,1112500.0,312500.0,412500.0,1062500.0,362500.0,79.66361897791533,63.83843355798077,2020-07-01,2020-07-02
36,037-barents_kara_seas-100km-2007-03-26,037,barents_kara_seas,100km,862500.0,962500.0,312500.0,412500.0,912500.0,362500.0,80.9541875006627,66.66595872329023,2007-03-26,2007-03-27
37,038-barents_kara_seas-100km-2016-08-29,038,barents_kara_seas,100km,2087500.0,2187500.0,812500.0,912500.0,2137500.0,862500.0,68.9526759275163,66.97450799147197,2016-08-29,2016-08-30
38,039-barents_kara_seas-100km-2017-05-26,039,barents_kara_seas,100km,1237500.0,1337500.0,537500.0,637500.0,1287500.0,587500.0,76.98975249282752,69.52772048025808,2017-05-26,2017-05-27
39,040-barents_kara_seas-100km-2011-09-25,040,barents_kara_seas,100km,1937500.0,2037500.0,1012500.0,1112500.0,1987500.0,1062500.0,69.41116158041848,73.12856761567284,2011-09-25,2011-09-26
40,041-barents_kara_seas-100km-2015-06-18,041,barents_kara_seas,100km,1512500.0,1612500.0,987500.0,1087500.0,1562500.0,1037500.0,72.81084777526554,78.58416047559298,2015-06-18,2015-06-19
41,042-barents_kara_seas-100km-2021-09-10,042,barents_kara_seas,100km,737500.0,837500.0,587500.0,687500.0,787500.0,637500.0,80.66677751714646,83.99099404250548,2021-09-10,2021-09-11
42,043-beaufort_sea-100km-2019-08-13,043,beaufort_sea,100km,-1062500.0,-962500.0,312500.0,412500.0,-1012500.0,362500.0,80.09608480698053,-154.6986213745803,2019-08-13,2019-08-14
43,044-beaufort_sea-100km-2020-08-08,044,beaufort_sea,100km,-1662500.0,-1562500.0,387500.0,487500.0,-1612500.0,437500.0,74.66490739686482,-150.17992743452623,2020-08-08,2020-08-09
44,045-beaufort_sea-100km-2017-09-25,045,beaufort_sea,100km,-1287500.0,-1187500.0,237500.0,337500.0,-1237500.0,287500.0,78.31111945065037,-148.07912378006682,2017-09-25,2017-09-26
45,046-beaufort_sea-100km-2020-07-08,046,beaufort_sea,100km,-2212500.0,-2112500.0,237500.0,337500.0,-2162500.0,287500.0,70.05737285048592,-142.5729486405434,2020-07-08,2020-07-09
46,047-beaufort_sea-100km-2022-03-02,047,beaufort_sea,100km,-2187500.0,-2087500.0,187500.0,287500.0,-2137500.0,237500.0,70.33427169714388,-141.34019174590992,2022-03-02,2022-03-03
47,048-beaufort_sea-100km-2021-04-27,048,beaufort_sea,100km,-2212500.0,-2112500.0,162500.0,262500.0,-2162500.0,212500.0,70.13458850929605,-140.61220322932488,2021-04-27,2021-04-28
48,049-beaufort_sea-100km-2016-03-05,049,beaufort_sea,100km,-2237500.0,-2137500.0,162500.0,262500.0,-2187500.0,212500.0,69.91154473361784,-140.54846629371806,2016-03-05,2016-03-06
49,050-beaufort_sea-100km-2007-09-02,050,beaufort_sea,100km,-2012500.0,-1912500.0,112500.0,212500.0,-1962500.0,162500.0,71.96596819248917,-139.73343833057547,2007-09-02,2007-09-03
50,051-beaufort_sea-100km-2010-09-25,051,beaufort_sea,100km,-1462500.0,-1362500.0,62500.0,162500.0,-1412500.0,112500.0,76.9736565092582,-139.55376797915864,2010-09-25,2010-09-26
51,052-beaufort_sea-100km-2021-06-24,052,beaufort_sea,100km,-2162500.0,-2062500.0,37500.0,137500.0,-2112500.0,87500.0,70.6605071177479,-137.3718421897892,2021-06-24,2021-06-25
52,053-beaufort_sea-100km-2021-07-18,053,beaufort_sea,100km,-2087500.0,-1987500.0,12500.0,112500.0,-2037500.0,62500.0,71.34239041021729,-136.7569883099082,2021-07-18,2021-07-19
53,054-beaufort_sea-100km-2015-05-16,054,beaufort_sea,100km,-2187500.0,-2087500.0,12500.0,112500.0,-2137500.0,62500.0,70.44411551181435,-136.67483799052923,2015-05-16,2015-05-17
